SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low
151,NLIC,Nepal Life Insurance Company Limited,25.83,665.00,671.00,658.00,668.00,667.48,"13,874.00",665.00,"9,260,597.60",171,3.00,13.00,0.45,1.98,0.08,657.98,671.30,975.80,570.00
152,NLICL,National Life Insurance Company Limited,28.51,591.00,591.00,575.00,583.40,582.91,"6,315.00",580.60,"3,681,078.80",64,2.80,16.00,0.48,2.78,0.08,571.02,572.67,787.00,492.00
153,NMB,NMB Bank Limited,28.91,228.00,234.00,228.00,234.00,231.99,"33,044.00",228.10,"7,666,002.00",145,5.90,6.00,2.59,2.63,0.86,235.03,240.72,305.00,215.00
154,NMB50,NMB 50,32.75,9.00,9.09,8.90,9.07,9.02,"16,890.00",9.10,"152,351.65",11,-0.03,0.19,-0.33,2.13,0.55,9.29,10.15,13.53,8.28
155,NMBHF1,NMB Hybrid Fund L- 1,25.17,10.00,10.00,9.85,9.85,9.90,300.00,9.81,"2,970.00",2,0.04,0.15,0.41,1.52,-0.51,9.51,9.96,12.25,8.79
156,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,31.10,501.10,510.00,500.30,510.00,501.05,"1,020.00",510.00,"511,075.00",8,0.00,9.70,0.00,1.94,1.75,654.54,693.19,925.00,492.10
157,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,32.78,"1,240.00","1,240.00","1,215.60","1,231.00","1,220.43","1,769.00","1,232.40","2,158,936.10",46,-1.40,24.40,-0.11,2.01,0.86,"1,952.47","1,989.92","2,580.00","1,215.60"
158,NRIC,Nepal Reinsurance Company Limited,26.12,730.00,730.00,716.00,720.10,721.66,"11,260.00",725.00,"8,125,865.80",198,-4.90,14.00,-0.68,1.96,-0.22,732.99,733.93,"1,044.90",565.00
159,NRN,NRN Infrastructure and Development Limited,27.54,452.80,464.00,440.00,455.00,453.27,"3,418.00",462.00,"1,549,280.20",52,-7.00,24.00,-1.52,5.45,0.38,452.18,468.47,595.50,385.00
160,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,28.61,602.00,610.00,602.00,610.00,602.54,270.00,607.00,"162,685.00",6,3.00,8.00,0.49,1.33,1.22,770.65,798.79,"1,030.00",585.50
161,NTC,Nepal Doorsanchar Company Limited,29.35,798.00,824.00,798.00,817.00,814.77,"11,557.00",814.00,"9,416,324.40",126,3.00,26.00,0.37,3.26,0.27,848.70,864.21,"1,081.00",791.00
162,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,24.73,595.00,602.90,595.00,602.00,598.71,"1,466.00",603.00,"877,716.00",32,-1.00,7.90,-0.17,1.33,0.55,836.57,896.19,"1,154.00",561.00
